RMSE_R,RMSE_I,RMSE_C,Max_R,Max_I,Max_C,Model,Inference Time (s),Params
267.86984,380.13745,1444.6161,677.22253,862.79236,2864.068,LSTM,1.8028185367584229,150021
273.9321,247.32742,1423.5833,682.9409,611.1757,2825.6663,GRU,1.564188003540039,116997
