freq_offset_hz,maxhold_db
-217773.4,-84.700
-216796.9,-84.151
-215820.3,-83.899
-214843.8,-83.663
-213867.2,-83.048
-212890.6,-84.048
-211914.1,-84.618
-210937.5,-83.771
-209960.9,-84.291
-208984.4,-84.200
-208007.8,-82.927
-207031.2,-83.291
-206054.7,-84.474
-205078.1,-84.626
-204101.6,-83.616
-203125.0,-84.614
-202148.4,-84.343
-201171.9,-82.291
-200195.3,-84.455
-199218.8,-83.527
-198242.2,-83.792
-197265.6,-84.466
-196289.1,-84.326
-195312.5,-83.665
-194335.9,-84.107
-193359.4,-83.825
-192382.8,-83.661
-191406.2,-84.089
-190429.7,-84.127
-189453.1,-83.882
-188476.6,-85.109
-187500.0,-84.545
-186523.4,-83.964
-185546.9,-84.814
-184570.3,-84.276
-183593.8,-84.309
-182617.2,-84.788
-181640.6,-84.341
-180664.1,-83.941
-179687.5,-84.279
-178710.9,-84.247
-177734.4,-84.730
-176757.8,-84.542
-175781.2,-83.527
-174804.7,-84.492
-173828.1,-84.343
-172851.6,-84.777
-171875.0,-84.863
-170898.4,-84.754
-169921.9,-83.227
-168945.3,-84.408
-167968.8,-84.309
-166992.2,-84.474
-166015.6,-84.999
-165039.1,-85.164
-164062.5,-84.204
-163085.9,-84.485
-162109.4,-84.922
-161132.8,-85.334
-160156.2,-84.408
-159179.7,-83.505
-158203.1,-83.880
-157226.6,-84.654
-156250.0,-85.310
-155273.4,-84.084
-154296.9,-85.587
-153320.3,-84.840
-152343.8,-84.803
-151367.2,-83.895
-150390.6,-84.427
-149414.1,-84.375
-148437.5,-83.783
-147460.9,-83.431
-146484.4,-83.091
-145507.8,-84.879
-144531.2,-83.997
-143554.7,-84.061
-142578.1,-84.093
-141601.6,-83.765
-140625.0,-77.955
-139648.4,-77.269
-138671.9,-83.496
-137695.3,-85.003
-136718.8,-84.334
-135742.2,-83.658
-134765.6,-83.384
-133789.1,-84.445
-132812.5,-83.657
-131835.9,-84.531
-130859.4,-83.806
-129882.8,-84.697
-128906.2,-84.506
-127929.7,-84.545
-126953.1,-84.695
-125976.6,-84.217
-125000.0,-83.275
-124023.4,-84.487
-123046.9,-84.026
-122070.3,-84.625
-121093.8,-84.524
-120117.2,-84.286
-119140.6,-82.759
-118164.1,-84.668
-117187.5,-84.493
-116210.9,-84.236
-115234.4,-83.975
-114257.8,-83.705
-113281.2,-84.517
-112304.7,-84.475
-111328.1,-83.342
-110351.6,-83.555
-109375.0,-85.033
-108398.4,-84.055
-107421.9,-84.626
-106445.3,-83.896
-105468.8,-83.537
-104492.2,-84.381
-103515.6,-83.785
-102539.1,-83.624
-101562.5,-85.192
-100585.9,-84.469
-99609.4,-84.547
-98632.8,-84.487
-97656.2,-83.770
-96679.7,-84.821
-95703.1,-85.022
-94726.6,-83.652
-93750.0,-83.783
-92773.4,-84.083
-91796.9,-83.647
-90820.3,-84.096
-89843.8,-84.547
-88867.2,-84.637
-87890.6,-84.822
-86914.1,-85.235
-85937.5,-83.825
-84960.9,-83.349
-83984.4,-83.890
-83007.8,-83.213
-82031.2,-83.379
-81054.7,-83.525
-80078.1,-84.095
-79101.6,-83.936
-78125.0,-84.178
-77148.4,-83.689
-76171.9,-84.805
-75195.3,-82.690
-74218.8,-83.834
-73242.2,-83.542
-72265.6,-85.073
-71289.1,-83.483
-70312.5,-84.469
-69335.9,-82.749
-68359.4,-83.144
-67382.8,-84.508
-66406.2,-84.244
-65429.7,-83.849
-64453.1,-84.506
-63476.6,-84.094
-62500.0,-83.711
-61523.4,-84.741
-60546.9,-84.300
-59570.3,-82.957
-58593.8,-83.140
-57617.2,-83.029
-56640.6,-84.476
-55664.1,-84.670
-54687.5,-83.227
-53710.9,-84.228
-52734.4,-83.535
-51757.8,-83.467
-50781.2,-84.566
-49804.7,-84.107
-48828.1,-83.784
-47851.6,-83.423
-46875.0,-83.131
-45898.4,-82.391
-44921.9,-82.856
-43945.3,-83.392
-42968.8,-83.621
-41992.2,-83.881
-41015.6,-84.483
-40039.1,-83.792
-39062.5,-82.205
-38085.9,-83.188
-37109.4,-83.698
-36132.8,-83.972
-35156.2,-84.598
-34179.7,-82.829
-33203.1,-82.486
-32226.6,-82.766
-31250.0,-83.302
-30273.4,-84.799
-29296.9,-83.387
-28320.3,-83.884
-27343.8,-83.541
-26367.2,-83.298
-25390.6,-82.570
-24414.1,-83.951
-23437.5,-82.990
-22460.9,-83.315
-21484.4,-83.359
-20507.8,-83.265
-19531.2,-83.009
-18554.7,-82.632
-17578.1,-83.292
-16601.6,-83.256
-15625.0,-82.745
-14648.4,-82.357
-13671.9,-82.326
-12695.3,-82.436
-11718.8,-81.954
-10742.2,-82.553
-9765.6,-82.349
-8789.1,-82.521
-7812.5,-80.748
-6835.9,-81.078
-5859.4,-79.721
-4882.8,-80.884
-3906.2,-80.707
-2929.7,-79.553
-1953.1,-77.852
-976.6,-75.059
0.0,-74.270
976.6,-75.597
1953.1,-78.663
2929.7,-79.176
3906.2,-79.939
4882.8,-80.275
5859.4,-81.153
6835.9,-80.436
7812.5,-81.647
8789.1,-82.279
9765.6,-82.220
10742.2,-81.895
11718.8,-81.128
12695.3,-82.251
13671.9,-82.389
14648.4,-81.963
15625.0,-82.869
16601.6,-83.077
17578.1,-83.485
18554.7,-83.369
19531.2,-83.305
20507.8,-82.907
21484.4,-83.496
22460.9,-83.059
23437.5,-83.182
24414.1,-82.905
25390.6,-83.871
26367.2,-83.818
27343.8,-83.314
28320.3,-84.329
29296.9,-83.360
30273.4,-83.161
31250.0,-83.049
32226.6,-83.811
33203.1,-84.129
34179.7,-84.208
35156.2,-82.880
36132.8,-82.503
37109.4,-83.759
38085.9,-83.672
39062.5,-84.086
40039.1,-83.311
41015.6,-83.595
41992.2,-83.368
42968.8,-84.708
43945.3,-83.328
44921.9,-83.630
45898.4,-83.299
46875.0,-83.444
47851.6,-83.234
48828.1,-82.852
49804.7,-83.782
50781.2,-82.083
51757.8,-83.975
52734.4,-84.544
53710.9,-83.133
54687.5,-84.391
55664.1,-83.853
56640.6,-84.315
57617.2,-84.385
58593.8,-83.540
59570.3,-83.265
60546.9,-83.434
61523.4,-84.485
62500.0,-84.202
63476.6,-83.894
64453.1,-83.536
65429.7,-83.325
66406.2,-84.505
67382.8,-83.514
68359.4,-84.518
69335.9,-84.720
70312.5,-83.135
71289.1,-83.245
72265.6,-83.801
73242.2,-84.422
74218.8,-83.953
75195.3,-82.702
76171.9,-84.396
77148.4,-84.929
78125.0,-83.348
79101.6,-83.404
80078.1,-84.202
81054.7,-84.622
82031.2,-84.858
83007.8,-83.773
83984.4,-84.160
84960.9,-83.145
85937.5,-83.834
86914.1,-83.841
87890.6,-83.906
88867.2,-84.189
89843.8,-83.781
90820.3,-84.651
